module,type,name,res_id,src,value,comments
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>","<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific.""/>","<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific.""/>",
account,model_terms,"ir.ui.view,arch_db",account.view_move_form,"<span class=""o_form_label mx-3 oe_edit_only"" attrs=""{'invisible': [ '|', '|', '|', ('state', '!=', 'draft'), ('invoice_payment_term_id', '!=', False), ('type', 'not in', ('out_invoice', 'out_refund', 'in_invoice', 'in_refund', 'out_receipt', 'in_receipt'))]}""> or </span>","<span class=""o_form_label mx-3 oe_edit_only"" attrs=""{'invisible': [ '|', '|', '|', ('state', '!=', 'draft'), ('invoice_payment_term_id', '!=', False), ('type', 'not in', ('out_invoice', 'out_refund', 'in_invoice', 'in_refund', 'out_receipt', 'in_receipt'))]}""> or </span>",
account,model_terms,"ir.ui.view,arch_db",account.view_move_form,"<span class=""o_form_label"" attrs=""{'invisible': [('invoice_sequence_number_next_prefix', '=', False)]}"">First Number:</span>","<span class=""o_form_label"" attrs=""{'invisible': [('invoice_sequence_number_next_prefix', '=', False)]}"">First Number:</span>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_reconcile_model_form,"<span class=""o_form_label"" attrs=""{'invisible': [('match_amount', '!=', 'between')]}"">and</span>","<span class=""o_form_label"" attrs=""{'invisible': [('match_amount', '!=', 'between')]}"">and</span>",
account,model_terms,"ir.ui.view,arch_db",account.validate_account_move_view,"<span class=""o_form_label"">All selected journal entries will be validated and posted. You won't be able to modify them afterwards.</span>","<span class=""o_form_label"">All selected journal entries will be validated and posted. You won't be able to modify them afterwards.</span>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Default Incoterm</span>","<span class=""o_form_label"">Default Incoterm</span>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Default Sending Options</span>","<span class=""o_form_label"">Default Sending Options</span>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Default Taxes</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>","<span class=""o_form_label"">Default Taxes</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Fiscal Localization</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>","<span class=""o_form_label"">Fiscal Localization</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",
